x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
242752,320984,440000,199695,334609,435150
242752,320984,460000,201311,334379,455381
242752,320984,480000,202697,335302,476074
242752,320984,500000,204775,336457,496074
242752,340984,400000,191150,354840,396536
242752,340984,420000,193228,354148,416305
222752,40984,40000,227730,59459,30993
222752,40984,60000,230502,60383,50762
222752,40984,80000,233966,61076,70993
222752,60984,40000,221264,77150,31686
222752,60984,60000,224035,78074,51224
222752,60984,80000,228654,78997,71686
222752,60984,100000,231425,79228,90993
222752,60984,120000,233735,80383,110301
222752,80984,40000,215029,94379,33996
222752,80984,60000,218724,95071,52379
222752,80984,80000,221726,96457,71455
222752,80984,100000,222419,97381,89377
222752,80984,120000,223573,98305,109608
222752,80984,140000,226807,100152,129839
222752,80984,160000,229578,102923,149377
222752,80984,180000,231887,104540,169608
222752,80984,200000,234889,105695,190531
222752,100984,20000,205560,111145,15612
222752,100984,40000,209486,111607,34226
222752,100984,60000,214798,112531,51686
222752,100984,80000,216183,113224,70301
222752,100984,100000,212488,115764,89377
222752,100984,120000,212950,116226,110762
222752,100984,140000,218031,118766,129608
222752,100984,160000,221957,120614,149608
222752,100984,180000,225190,121538,170762
222752,100984,200000,228654,122923,191686
222752,100984,220000,232811,124309,211686
222752,100984,240000,236506,125002,232610
222752,120984,20000,198401,128836,15843
222752,120984,40000,203251,129529,33996
222752,120984,60000,208331,130222,51224
222752,120984,80000,209255,134609,69608
222752,120984,100000,205098,137381,90762
222752,120984,120000,205791,135764,112148
222752,120984,140000,210179,137381,130531
222752,120984,160000,215260,138074,151917
222752,120984,180000,219647,139690,172610
222752,120984,200000,223112,140614,192610
222752,120984,220000,227499,141307,213072
222752,120984,240000,231194,141076,233765
222752,120984,260000,234659,141538,253996
222752,120984,280000,236506,142000,273996
222752,120984,300000,237661,142692,293996
222752,140984,40000,194013,148836,35612
222752,140984,60000,196553,150914,55150
222752,140984,80000,197246,154840,74919
222752,140984,100000,197708,155071,94226
222752,140984,120000,200479,154609,113534
222752,140984,140000,204867,154840,133534
222752,140984,160000,209717,155302,154457
222752,140984,180000,213643,156688,174688
222752,140984,200000,217800,158074,194457
222752,140984,220000,221957,158766,214457
222752,140984,240000,225652,158535,234457
222752,140984,260000,228192,158766,254688
222752,140984,280000,229347,158997,274457
222752,140984,300000,231194,159921,294457
222752,140984,320000,233042,161538,314919
222752,140984,340000,233966,163154,335381
222752,140984,360000,234428,165464,355843
222752,140984,380000,236968,163616,378383
222752,160984,40000,183621,165834,38152
222752,160984,60000,185699,168605,57691
222752,160984,80000,188009,170453,77460
222752,160984,100000,191011,170683,97229
222752,160984,120000,194244,171145,116305
222752,160984,140000,199556,171376,136536
222752,160984,160000,203943,172762,156536
222752,160984,180000,208100,174379,176074
222752,160984,200000,211565,175302,196305
222752,160984,220000,215260,175302,216074
222752,160984,240000,218262,175533,235843
222752,160984,260000,220340,174840,256536
222752,160984,280000,221726,175533,276074
222752,160984,300000,224035,176457,295843
222752,160984,320000,226807,178305,316074
222752,160984,340000,228423,179228,336305
222752,160984,360000,228423,180614,356536
222752,160984,380000,230733,180614,376305
222752,160984,400000,233042,178305,397460
222752,180984,40000,172767,182139,39769
222752,180984,60000,174845,183524,59538
222752,180984,80000,176923,184910,79538
222752,180984,100000,180849,186065,99076
222752,180984,120000,186161,187450,118614
222752,180984,140000,191473,188836,137460
222752,180984,160000,196322,189760,157691
222752,180984,180000,200710,192069,177691
222752,180984,200000,204636,192069,197691
222752,180984,220000,208793,191145,217691
222752,180984,240000,211565,190683,238152
222752,180984,260000,212950,190453,258614
222752,180984,280000,214567,191607,277922
222752,180984,300000,217338,192531,297691
222752,180984,320000,220802,194609,317229
222752,180984,340000,222419,195302,337229
222752,180984,360000,222650,195302,357229
222752,180984,380000,225190,195071,376998
222752,180984,400000,227268,194840,396998
222752,180984,420000,228423,193917,417460
222752,200984,60000,164222,198906,60924
222752,200984,80000,166762,199829,80693
222752,200984,100000,169995,201446,100231
222752,200984,120000,174383,202370,120231
222752,200984,140000,180619,205372,139307
222752,200984,160000,186392,207219,158152
222752,200984,180000,191242,209760,178152
222752,200984,200000,196784,208143,198614
222752,200984,220000,202327,206988,219769
222752,200984,240000,204636,207219,240462
222752,200984,260000,207177,207219,261155
222752,200984,280000,209255,208605,280000
222752,200984,300000,212257,210222,298383
222752,200984,320000,214567,211607,317229
222752,200984,340000,216645,210914,337691
222752,200984,360000,216645,210683,357229
222752,200984,380000,218724,211607,376998
222752,200984,400000,220802,211145,396998
222752,200984,420000,222188,210914,417229
222752,200984,440000,222881,211376,437229
222752,220984,100000,159834,217289,101155
222752,220984,120000,164915,219367,120462
222752,220984,140000,171612,221446,140000
222752,220984,160000,178540,223524,159307
222752,220984,200000,191242,225603,199538
222752,220984,220000,196784,226065,220000
222752,220984,240000,200710,225603,242078
222752,220984,260000,203713,226065,262309
222752,220984,280000,205098,227681,280462
222752,220984,300000,206484,229067,299307
